permno,date,ticker,comnam,prc,ret
13983,2020-01-31,COTY,COTY INC,10.26,-0.088
13983,2020-02-28,COTY,COTY INC,9.23,-0.088207
13983,2020-03-31,COTY,COTY INC,5.16,-0.440953
13983,2020-04-30,COTY,COTY INC,5.45,0.056202
13983,2020-05-29,COTY,COTY INC,3.63,-0.333945
13983,2020-06-30,COTY,COTY INC,4.47,0.231405
13983,2020-07-31,COTY,COTY INC,3.71,-0.170022
13983,2020-08-31,COTY,COTY INC,3.58,-0.035041
13983,2020-09-30,COTY,COTY INC,2.7,-0.24581
13983,2020-10-30,COTY,COTY INC,2.9,0.074074
13983,2020-11-30,COTY,COTY INC,7.19,1.47931
13983,2020-12-31,COTY,COTY INC,7.02,-0.023644
13983,2021-01-29,COTY,COTY INC,6.37,-0.092593
13983,2021-02-26,COTY,COTY INC,7.67,0.204082
13983,2021-03-31,COTY,COTY INC,9.01,0.174707
13983,2021-04-30,COTY,COTY INC,10.01,0.110988
13983,2021-05-28,COTY,COTY INC,8.91,-0.10989
13983,2021-06-30,COTY,COTY INC,9.34,0.04826
13983,2021-07-30,COTY,COTY INC,8.73,-0.065311
13983,2021-08-31,COTY,COTY INC,9.77,0.11913
13983,2021-09-30,COTY,COTY INC,7.86,-0.195496
13983,2021-10-29,COTY,COTY INC,8.48,0.07888
13983,2021-11-30,COTY,COTY INC,9.73,0.147406
13983,2021-12-31,COTY,COTY INC,10.5,0.079137
13983,2022-01-31,COTY,COTY INC,8.48,-0.192381
13983,2022-02-28,COTY,COTY INC,9.17,0.081368
13983,2022-03-31,COTY,COTY INC,8.99,-0.019629
13983,2022-04-29,COTY,COTY INC,8.11,-0.097887
13983,2022-05-31,COTY,COTY INC,7.09,-0.125771
13983,2022-06-30,COTY,COTY INC,8.01,0.12976
13983,2022-07-29,COTY,COTY INC,7.32,-0.086142
13983,2022-08-31,COTY,COTY INC,7.51,0.025956
13983,2022-09-30,COTY,COTY INC,6.32,-0.158455
13983,2022-10-31,COTY,COTY INC,6.71,0.061709
13983,2022-11-30,COTY,COTY INC,7.87,0.172876
13983,2022-12-30,COTY,COTY INC,8.56,0.087675
13983,2023-01-31,COTY,COTY INC,9.96,0.163551
13983,2023-02-28,COTY,COTY INC,11.3,0.134538
13983,2023-03-31,COTY,COTY INC,12.06,0.067257
13983,2023-04-28,COTY,COTY INC,11.87,-0.015755
13983,2023-05-31,COTY,COTY INC,10.84,-0.086773
13983,2023-06-30,COTY,COTY INC,12.29,0.133764
13983,2023-07-31,COTY,COTY INC,12.04,-0.020342
13983,2023-08-31,COTY,COTY INC,11.56,-0.039867
13983,2023-09-29,COTY,COTY INC,10.97,-0.051038
13983,2023-10-31,COTY,COTY INC,9.37,-0.145852
13983,2023-11-30,COTY,COTY INC,11.4,0.216649
13983,2023-12-29,COTY,COTY INC,12.42,0.089474
13983,2024-01-31,COTY,COTY INC,12.08,-0.027375
13983,2024-02-29,COTY,COTY INC,12.56,0.039735
13983,2024-03-28,COTY,COTY INC,11.96,-0.047771
13983,2024-04-30,COTY,COTY INC,11.44,-0.043478
13983,2024-05-31,COTY,COTY INC,10.36,-0.094406
13983,2024-06-28,COTY,COTY INC,10.02,-0.032819
13983,2024-07-31,COTY,COTY INC,9.95,-0.006986
13983,2024-08-30,COTY,COTY INC,9.38,-0.057286
13983,2024-09-30,COTY,COTY INC,9.39,0.001066
13983,2024-10-31,COTY,COTY INC,7.44,-0.207668
13983,2024-11-29,COTY,COTY INC,7.39,-0.00672
13983,2024-12-31,COTY,COTY INC,6.96,-0.058187
82642,2020-01-31,EL,LAUDER ESTEE COS INC,195.16,-0.055098
82642,2020-02-28,EL,LAUDER ESTEE COS INC,183.60001,-0.056774
82642,2020-03-31,EL,LAUDER ESTEE COS INC,159.34,-0.132135
82642,2020-04-30,EL,LAUDER ESTEE COS INC,176.39999,0.107067
82642,2020-05-29,EL,LAUDER ESTEE COS INC,197.47,0.119444
82642,2020-06-30,EL,LAUDER ESTEE COS INC,188.67999,-0.044513
82642,2020-07-31,EL,LAUDER ESTEE COS INC,197.53999,0.046958
82642,2020-08-31,EL,LAUDER ESTEE COS INC,221.72,0.124836
82642,2020-09-30,EL,LAUDER ESTEE COS INC,218.25,-0.01565
82642,2020-10-30,EL,LAUDER ESTEE COS INC,219.66,0.006461
82642,2020-11-30,EL,LAUDER ESTEE COS INC,245.32001,0.11923
82642,2020-12-31,EL,LAUDER ESTEE COS INC,266.19,0.085073
82642,2021-01-29,EL,LAUDER ESTEE COS INC,236.64999,-0.110973
82642,2021-02-26,EL,LAUDER ESTEE COS INC,285.85999,0.210184
82642,2021-03-31,EL,LAUDER ESTEE COS INC,290.85001,0.017456
82642,2021-04-30,EL,LAUDER ESTEE COS INC,313.79999,0.078907
82642,2021-05-28,EL,LAUDER ESTEE COS INC,306.51999,-0.021511
82642,2021-06-30,EL,LAUDER ESTEE COS INC,318.07999,0.037714
82642,2021-07-30,EL,LAUDER ESTEE COS INC,333.82999,0.049516
82642,2021-08-31,EL,LAUDER ESTEE COS INC,340.48999,0.021538
82642,2021-09-30,EL,LAUDER ESTEE COS INC,299.92999,-0.119122
82642,2021-10-29,EL,LAUDER ESTEE COS INC,324.32999,0.081352
82642,2021-11-30,EL,LAUDER ESTEE COS INC,332.07001,0.025715
82642,2021-12-31,EL,LAUDER ESTEE COS INC,370.20001,0.114825
82642,2022-01-31,EL,LAUDER ESTEE COS INC,311.79001,-0.15778
82642,2022-02-28,EL,LAUDER ESTEE COS INC,296.32999,-0.04766
82642,2022-03-31,EL,LAUDER ESTEE COS INC,272.32001,-0.081025
82642,2022-04-29,EL,LAUDER ESTEE COS INC,264.06,-0.030332
82642,2022-05-31,EL,LAUDER ESTEE COS INC,254.64999,-0.033364
82642,2022-06-30,EL,LAUDER ESTEE COS INC,254.67,7.9e-05
82642,2022-07-29,EL,LAUDER ESTEE COS INC,273.10001,0.072368
82642,2022-08-31,EL,LAUDER ESTEE COS INC,254.38,-0.066349
82642,2022-09-30,EL,LAUDER ESTEE COS INC,215.89999,-0.15127
82642,2022-10-31,EL,LAUDER ESTEE COS INC,200.49001,-0.071376
82642,2022-11-30,EL,LAUDER ESTEE COS INC,235.78999,0.17936
82642,2022-12-30,EL,LAUDER ESTEE COS INC,248.11,0.05225
82642,2023-01-31,EL,LAUDER ESTEE COS INC,277.07999,0.116763
82642,2023-02-28,EL,LAUDER ESTEE COS INC,243.05,-0.120434
82642,2023-03-31,EL,LAUDER ESTEE COS INC,246.46001,0.01403
82642,2023-04-28,EL,LAUDER ESTEE COS INC,246.72,0.001055
82642,2023-05-31,EL,LAUDER ESTEE COS INC,184.03,-0.251419
82642,2023-06-30,EL,LAUDER ESTEE COS INC,196.38,0.067109
82642,2023-07-31,EL,LAUDER ESTEE COS INC,180.0,-0.08341
82642,2023-08-31,EL,LAUDER ESTEE COS INC,160.53,-0.1045
82642,2023-09-29,EL,LAUDER ESTEE COS INC,144.55,-0.099545
82642,2023-10-31,EL,LAUDER ESTEE COS INC,128.87,-0.108475
82642,2023-11-30,EL,LAUDER ESTEE COS INC,127.69,-0.004035
82642,2023-12-29,EL,LAUDER ESTEE COS INC,146.25,0.145352
82642,2024-01-31,EL,LAUDER ESTEE COS INC,131.99001,-0.097504
82642,2024-02-29,EL,LAUDER ESTEE COS INC,148.58,0.130692
82642,2024-03-28,EL,LAUDER ESTEE COS INC,154.14999,0.037488
82642,2024-04-30,EL,LAUDER ESTEE COS INC,146.71001,-0.048265
82642,2024-05-31,EL,LAUDER ESTEE COS INC,123.36,-0.154659
82642,2024-06-28,EL,LAUDER ESTEE COS INC,106.4,-0.137484
82642,2024-07-31,EL,LAUDER ESTEE COS INC,99.61,-0.063816
82642,2024-08-30,EL,LAUDER ESTEE COS INC,91.66,-0.073185
82642,2024-09-30,EL,LAUDER ESTEE COS INC,99.69,0.087606
82642,2024-10-31,EL,LAUDER ESTEE COS INC,68.94,-0.308456
82642,2024-11-29,EL,LAUDER ESTEE COS INC,72.12,0.051204
82642,2024-12-31,EL,LAUDER ESTEE COS INC,74.98,0.039656
16318,2020-01-31,ELF,E L F BEAUTY INC,15.68,-0.027898
16318,2020-02-28,ELF,E L F BEAUTY INC,15.96,0.017857
16318,2020-03-31,ELF,E L F BEAUTY INC,9.84,-0.383459
16318,2020-04-30,ELF,E L F BEAUTY INC,13.07,0.328252
16318,2020-05-29,ELF,E L F BEAUTY INC,17.14,0.3114
16318,2020-06-30,ELF,E L F BEAUTY INC,19.07,0.112602
16318,2020-07-31,ELF,E L F BEAUTY INC,17.86,-0.06345
16318,2020-08-31,ELF,E L F BEAUTY INC,19.53,0.093505
16318,2020-09-30,ELF,E L F BEAUTY INC,18.37,-0.059396
16318,2020-10-30,ELF,E L F BEAUTY INC,20.27,0.103429
16318,2020-11-30,ELF,E L F BEAUTY INC,21.74,0.072521
16318,2020-12-31,ELF,E L F BEAUTY INC,25.19,0.158694
16318,2021-01-29,ELF,E L F BEAUTY INC,21.76,-0.136165
16318,2021-02-26,ELF,E L F BEAUTY INC,25.65,0.178768
16318,2021-03-31,ELF,E L F BEAUTY INC,26.83,0.046004
16318,2021-04-30,ELF,E L F BEAUTY INC,30.25,0.127469
16318,2021-05-28,ELF,E L F BEAUTY INC,28.0,-0.07438
16318,2021-06-30,ELF,E L F BEAUTY INC,27.14,-0.030714
16318,2021-07-30,ELF,E L F BEAUTY INC,27.61,0.017318
16318,2021-08-31,ELF,E L F BEAUTY INC,30.95,0.120971
16318,2021-09-30,ELF,E L F BEAUTY INC,29.05,-0.061389
16318,2021-10-29,ELF,E L F BEAUTY INC,32.31,0.11222
16318,2021-11-30,ELF,E L F BEAUTY INC,30.12,-0.067781
16318,2021-12-31,ELF,E L F BEAUTY INC,33.21,0.10259
16318,2022-01-31,ELF,E L F BEAUTY INC,29.56,-0.109907
16318,2022-02-28,ELF,E L F BEAUTY INC,26.43,-0.105886
16318,2022-03-31,ELF,E L F BEAUTY INC,25.83,-0.022702
16318,2022-04-29,ELF,E L F BEAUTY INC,24.33,-0.058072
16318,2022-05-31,ELF,E L F BEAUTY INC,26.62,0.094123
16318,2022-06-30,ELF,E L F BEAUTY INC,30.68,0.152517
16318,2022-07-29,ELF,E L F BEAUTY INC,33.53,0.092894
16318,2022-08-31,ELF,E L F BEAUTY INC,38.13,0.137191
16318,2022-09-30,ELF,E L F BEAUTY INC,37.62,-0.013375
16318,2022-10-31,ELF,E L F BEAUTY INC,43.26,0.14992
16318,2022-11-30,ELF,E L F BEAUTY INC,54.96,0.270458
16318,2022-12-30,ELF,E L F BEAUTY INC,55.3,0.006186
16318,2023-01-31,ELF,E L F BEAUTY INC,57.55,0.040687
16318,2023-02-28,ELF,E L F BEAUTY INC,74.75,0.298871
16318,2023-03-31,ELF,E L F BEAUTY INC,82.35,0.101672
16318,2023-04-28,ELF,E L F BEAUTY INC,92.76,0.126412
16318,2023-05-31,ELF,E L F BEAUTY INC,104.02,0.121388
16318,2023-06-30,ELF,E L F BEAUTY INC,114.23,0.098154
16318,2023-07-31,ELF,E L F BEAUTY INC,116.72,0.021798
16318,2023-08-31,ELF,E L F BEAUTY INC,138.71001,0.1884
16318,2023-09-29,ELF,E L F BEAUTY INC,109.83,-0.208204
16318,2023-10-31,ELF,E L F BEAUTY INC,92.63,-0.156606
16318,2023-11-30,ELF,E L F BEAUTY INC,118.09,0.274857
16318,2023-12-29,ELF,E L F BEAUTY INC,144.34,0.222288
16318,2024-01-31,ELF,E L F BEAUTY INC,159.53,0.105238
16318,2024-02-29,ELF,E L F BEAUTY INC,208.53,0.307152
16318,2024-03-28,ELF,E L F BEAUTY INC,196.03,-0.059943
16318,2024-04-30,ELF,E L F BEAUTY INC,162.53,-0.170892
16318,2024-05-31,ELF,E L F BEAUTY INC,186.91,0.150003
16318,2024-06-28,ELF,E L F BEAUTY INC,210.72,0.127387
16318,2024-07-31,ELF,E L F BEAUTY INC,172.58,-0.180998
16318,2024-08-30,ELF,E L F BEAUTY INC,149.78999,-0.132055
16318,2024-09-30,ELF,E L F BEAUTY INC,109.03,-0.272114
16318,2024-10-31,ELF,E L F BEAUTY INC,105.25,-0.034669
16318,2024-11-29,ELF,E L F BEAUTY INC,129.52,0.230594
16318,2024-12-31,ELF,E L F BEAUTY INC,125.55,-0.030652
11884,2020-01-31,IPAR,INTERMEDIATE PARFUMS INC,69.11,-0.049512
11884,2020-02-28,IPAR,INTERMEDIATE PARFUMS INC,60.06,-0.130951
11884,2020-03-31,IPAR,INTERMEDIATE PARFUMS INC,46.35,-0.222777
11884,2020-04-30,IPAR,INTERMEDIATE PARFUMS INC,44.69,-0.035815
11884,2020-05-29,IPAR,INTERMEDIATE PARFUMS INC,46.41,0.038487
11884,2020-06-30,IPAR,INTERMEDIATE PARFUMS INC,48.15,0.037492
11884,2020-07-31,IPAR,INTERMEDIATE PARFUMS INC,40.89,-0.150779
11884,2020-08-31,IPAR,INTERMEDIATE PARFUMS INC,44.67,0.092443
11884,2020-09-30,IPAR,INTERMEDIATE PARFUMS INC,37.35,-0.163868
11884,2020-10-30,IPAR,INTERMEDIATE PARFUMS INC,41.06,0.099331
11884,2020-11-30,IPAR,INTERMEDIATE PARFUMS INC,54.31,0.322698
11884,2020-12-31,IPAR,INTERMEDIATE PARFUMS INC,60.49,0.113791
11884,2021-01-29,IPAR,INTERMEDIATE PARFUMS INC,62.18,0.027939
11884,2021-02-26,IPAR,INTERMEDIATE PARFUMS INC,73.17,0.176745
11884,2021-03-31,IPAR,INTERMEDIATE PARFUMS INC,70.93,-0.027197
11884,2021-04-30,IPAR,INTERMEDIATE PARFUMS INC,73.6,0.037643
11884,2021-05-28,IPAR,INTERMEDIATE PARFUMS INC,76.48,0.039131
11884,2021-06-30,IPAR,INTERMEDIATE PARFUMS INC,72.0,-0.055309
11884,2021-07-30,IPAR,INTERMEDIATE PARFUMS INC,76.87,0.067639
11884,2021-08-31,IPAR,INTERMEDIATE PARFUMS INC,72.54,-0.056329
11884,2021-09-30,IPAR,INTERMEDIATE PARFUMS INC,74.77,0.034188
11884,2021-10-29,IPAR,INTERMEDIATE PARFUMS INC,92.38,0.235522
11884,2021-11-30,IPAR,INTERMEDIATE PARFUMS INC,87.83,-0.049253
11884,2021-12-31,IPAR,INTERMEDIATE PARFUMS INC,106.9,0.21997
11884,2022-01-31,IPAR,INTERMEDIATE PARFUMS INC,98.97,-0.074182
11884,2022-02-28,IPAR,INTERMEDIATE PARFUMS INC,92.88,-0.061534
11884,2022-03-31,IPAR,INTERMEDIATE PARFUMS INC,88.05,-0.046619
11884,2022-04-29,IPAR,INTERMEDIATE PARFUMS INC,81.73,-0.071777
11884,2022-05-31,IPAR,INTERMEDIATE PARFUMS INC,73.8,-0.097027
11884,2022-06-30,IPAR,INTERMEDIATE PARFUMS INC,73.06,-0.003252
11884,2022-07-29,IPAR,INTERMEDIATE PARFUMS INC,83.47,0.142486
11884,2022-08-31,IPAR,INTERMEDIATE PARFUMS INC,78.52,-0.059303
11884,2022-09-30,IPAR,INTERMEDIATE PARFUMS INC,75.46,-0.032603
11884,2022-10-31,IPAR,INTERMEDIATE PARFUMS INC,80.88,0.071826
11884,2022-11-30,IPAR,INTERMEDIATE PARFUMS INC,95.29,0.178165
11884,2022-12-30,IPAR,INTERMEDIATE PARFUMS INC,96.52,0.018155
11884,2023-01-31,IPAR,INTERMEDIATE PARFUMS INC,118.22,0.224824
11884,2023-02-28,IPAR,INTERMEDIATE PARFUMS INC,120.41,0.018525
11884,2023-03-31,IPAR,INTERMEDIATE PARFUMS INC,142.24001,0.186488
11884,2023-04-28,IPAR,INTERMEDIATE PARFUMS INC,151.78999,0.06714
11884,2023-05-31,IPAR,INTERMEDIATE PARFUMS INC,125.6,-0.172541
11884,2023-06-30,IPAR,INTERMEDIATE PARFUMS INC,135.23,0.081648
11884,2023-07-31,IPAR,INTERMEDIATE PARFUMS INC,149.56,0.105968
11884,2023-08-31,IPAR,INTERMEDIATE PARFUMS INC,139.73,-0.065726
11884,2023-09-29,IPAR,INTERMEDIATE PARFUMS INC,134.34,-0.034102
11884,2023-10-31,IPAR,INTERMEDIATE PARFUMS INC,127.11,-0.053819
11884,2023-11-30,IPAR,INTERMEDIATE PARFUMS INC,125.16,-0.015341
11884,2023-12-29,IPAR,INTERMEDIATE PARFUMS INC,144.00999,0.155601
11884,2024-01-31,IPAR,INTERMEDIATE PARFUMS INC,139.14999,-0.033748
11884,2024-02-29,IPAR,INTERMEDIATE PARFUMS INC,146.72,0.054402
11884,2024-03-28,IPAR,INTERMEDIATE PARFUMS INC,140.50999,-0.037214
11884,2024-04-30,IPAR,INTERMEDIATE PARFUMS INC,116.38,-0.171732
11884,2024-05-31,IPAR,INTERMEDIATE PARFUMS INC,119.78,0.029215
11884,2024-06-28,IPAR,INTERMEDIATE PARFUMS INC,116.03,-0.025046
11884,2024-07-31,IPAR,INTERMEDIATE PARFUMS INC,140.67999,0.212445
11884,2024-08-30,IPAR,INTERMEDIATE PARFUMS INC,128.84,-0.084163
11884,2024-09-30,IPAR,INTERMEDIATE PARFUMS INC,129.48,0.010789
11884,2024-10-31,IPAR,INTERPARFUMS INC,121.07,-0.064952
11884,2024-11-29,IPAR,INTERPARFUMS INC,137.66,0.137028
11884,2024-12-31,IPAR,INTERPARFUMS INC,131.50999,-0.039227
92322,2020-01-31,ULTA,ULTA BEAUTY INC,267.91,0.058347
92322,2020-02-28,ULTA,ULTA BEAUTY INC,257.09,-0.040387
92322,2020-03-31,ULTA,ULTA BEAUTY INC,175.7,-0.316582
92322,2020-04-30,ULTA,ULTA BEAUTY INC,217.92,0.240296
92322,2020-05-29,ULTA,ULTA BEAUTY INC,244.00999,0.119723
92322,2020-06-30,ULTA,ULTA BEAUTY INC,203.42,-0.166346
92322,2020-07-31,ULTA,ULTA BEAUTY INC,192.99001,-0.051273
92322,2020-08-31,ULTA,ULTA BEAUTY INC,232.17999,0.203067
92322,2020-09-30,ULTA,ULTA BEAUTY INC,223.98,-0.035317
92322,2020-10-30,ULTA,ULTA BEAUTY INC,206.77,-0.076837
92322,2020-11-30,ULTA,ULTA BEAUTY INC,275.39999,0.331915
92322,2020-12-31,ULTA,ULTA BEAUTY INC,287.16,0.042702
92322,2021-01-29,ULTA,ULTA BEAUTY INC,279.76001,-0.02577
92322,2021-02-26,ULTA,ULTA BEAUTY INC,322.32999,0.152166
92322,2021-03-31,ULTA,ULTA BEAUTY INC,309.17001,-0.040828
92322,2021-04-30,ULTA,ULTA BEAUTY INC,329.35001,0.065272
92322,2021-05-28,ULTA,ULTA BEAUTY INC,345.35999,0.048611
92322,2021-06-30,ULTA,ULTA BEAUTY INC,345.76999,0.001187
92322,2021-07-30,ULTA,ULTA BEAUTY INC,335.79999,-0.028834
92322,2021-08-31,ULTA,ULTA BEAUTY INC,387.31,0.153395
92322,2021-09-30,ULTA,ULTA BEAUTY INC,360.92001,-0.068137
92322,2021-10-29,ULTA,ULTA BEAUTY INC,367.35999,0.017843
92322,2021-11-30,ULTA,ULTA BEAUTY INC,383.95001,0.04516
92322,2021-12-31,ULTA,ULTA BEAUTY INC,412.34,0.073942
92322,2022-01-31,ULTA,ULTA BEAUTY INC,363.73999,-0.117864
92322,2022-02-28,ULTA,ULTA BEAUTY INC,374.5,0.029582
92322,2022-03-31,ULTA,ULTA BEAUTY INC,398.22,0.063338
92322,2022-04-29,ULTA,ULTA BEAUTY INC,396.79999,-0.003566
92322,2022-05-31,ULTA,ULTA BEAUTY INC,423.10001,0.06628
92322,2022-06-30,ULTA,ULTA BEAUTY INC,385.48001,-0.088915
92322,2022-07-29,ULTA,ULTA BEAUTY INC,388.91,0.008898
92322,2022-08-31,ULTA,ULTA BEAUTY INC,419.87,0.079607
92322,2022-09-30,ULTA,ULTA BEAUTY INC,401.19,-0.04449
92322,2022-10-31,ULTA,ULTA BEAUTY INC,419.37,0.045315
92322,2022-11-30,ULTA,ULTA BEAUTY INC,464.84,0.108425
92322,2022-12-30,ULTA,ULTA BEAUTY INC,469.07001,0.0091
92322,2023-01-31,ULTA,ULTA BEAUTY INC,513.96002,0.0957
92322,2023-02-28,ULTA,ULTA BEAUTY INC,518.79999,0.009417
92322,2023-03-31,ULTA,ULTA BEAUTY INC,545.66998,0.051793
92322,2023-04-28,ULTA,ULTA BEAUTY INC,551.42999,0.010556
92322,2023-05-31,ULTA,ULTA BEAUTY INC,409.82999,-0.256787
92322,2023-06-30,ULTA,ULTA BEAUTY INC,470.595,0.148269
92322,2023-07-31,ULTA,ULTA BEAUTY INC,444.79999,-0.054814
92322,2023-08-31,ULTA,ULTA BEAUTY INC,415.03,-0.066929
92322,2023-09-29,ULTA,ULTA BEAUTY INC,399.45001,-0.037539
92322,2023-10-31,ULTA,ULTA BEAUTY INC,381.31,-0.045413
92322,2023-11-30,ULTA,ULTA BEAUTY INC,425.98999,0.117175
92322,2023-12-29,ULTA,ULTA BEAUTY INC,489.98999,0.150238
92322,2024-01-31,ULTA,ULTA BEAUTY INC,502.04999,0.024613
92322,2024-02-29,ULTA,ULTA BEAUTY INC,548.56,0.09264
92322,2024-03-28,ULTA,ULTA BEAUTY INC,522.88,-0.046814
92322,2024-04-30,ULTA,ULTA BEAUTY INC,404.84,-0.22575
92322,2024-05-31,ULTA,ULTA BEAUTY INC,395.09,-0.024084
92322,2024-06-28,ULTA,ULTA BEAUTY INC,385.87,-0.023337
92322,2024-07-31,ULTA,ULTA BEAUTY INC,364.89001,-0.054371
92322,2024-08-30,ULTA,ULTA BEAUTY INC,352.84,-0.033024
92322,2024-09-30,ULTA,ULTA BEAUTY INC,389.12,0.102823
92322,2024-10-31,ULTA,ULTA BEAUTY INC,368.98001,-0.051758
92322,2024-11-29,ULTA,ULTA BEAUTY INC,386.64001,0.047862
92322,2024-12-31,ULTA,ULTA BEAUTY INC,434.92999,0.124896
